NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
Ak5	1	ENSMUSG00000039058	
Ak4	1	ENSMUSG00000028527	
E130119H09Rik	1	ENSMUSG00000114069	
Gm5605	1	ENSMUSG00000109181	
Ak7	1	ENSMUSG00000041323	
Gm6937	1	ENSMUSG00000117856	
Ak6	1	ENSMUSG00000078941	
Gm6939	1	ENSMUSG00000082922	
Ak9	1	ENSMUSG00000091415	
Ak8	1	ENSMUSG00000026807	
Gm6938	1	ENSMUSG00000087586	
Gm5608	1	ENSMUSG00000110278	
Thg1l	1	ENSMUSG00000011254	
6430571L13Rik	1	ENSMUSG00000037977	
Porcn	1	ENSMUSG00000031169	
Cnot11	1	ENSMUSG00000003135	
Gm6900	1	ENSMUSG00000093826	
Eif4ebp2	1	ENSMUSG00000020091	
Eif4ebp1	1	ENSMUSG00000031490	
Gm29183	1	ENSMUSG00000101344	
Eif4ebp3	1	ENSMUSG00000090264	
Gm6906	1	ENSMUSG00000112269	
Gm6905	1	ENSMUSG00000108396	
Angel2	1	ENSMUSG00000026634	
1500015A07Rik	1	ENSMUSG00000098702	
Cnot10	1	ENSMUSG00000056167	
Angel1	1	ENSMUSG00000021257	
Vsig10	1	ENSMUSG00000066894	
Mcl1	1	ENSMUSG00000038612	
1700065J11Rik	1	ENSMUSG00000107341	
Gm54109	1	ENSMUSG00000120522	
Gm6913	1	ENSMUSG00000075288	
Gm6916	1	ENSMUSG00000108608	
Bcl9	1	ENSMUSG00000038256	
Gm30155	1	ENSMUSG00000113247	
Gm31479	1	ENSMUSG00000109632	
Bcl6	1	ENSMUSG00000022508	
Alb	1	ENSMUSG00000029368	
Bcl3	1	ENSMUSG00000053175	
Bcl2	1	ENSMUSG00000057329	
9330136K24Rik	1	ENSMUSG00000097781	
Tsen2	1	ENSMUSG00000042389	
Pdlim3	1	ENSMUSG00000031636	
Gm20786	1	ENSMUSG00000110460	
Gm17135	1	ENSMUSG00000091351	
Pdlim2	1	ENSMUSG00000022090	
Alk	1	ENSMUSG00000055471	
Pdlim1	1	ENSMUSG00000055044	
Vps72	1	ENSMUSG00000008958	
Mcm7	1	ENSMUSG00000029730	
Gm5630	1	ENSMUSG00000114252	
Mcm8	1	ENSMUSG00000027353	
Gm6964	1	ENSMUSG00000081212	
Mcm9	1	ENSMUSG00000058298	
Tnks1bp1	1	ENSMUSG00000033955	
Birc3	1	ENSMUSG00000032000	
Gm30108	1	ENSMUSG00000114241	
Birc2	1	ENSMUSG00000057367	
Gm5637	1	ENSMUSG00000046993	
Birc7	1	ENSMUSG00000038840	
Gm5638	1	ENSMUSG00000081084	
Pdlim7	1	ENSMUSG00000021493	
Gm17138	1	ENSMUSG00000091942	
Gm6969	1	ENSMUSG00000066553	
Birc6	1	ENSMUSG00000024073	
Pcdhac2	1	ENSMUSG00000102697	
Pdlim5	1	ENSMUSG00000028273	
Birc5	1	ENSMUSG00000017716	
Gm19798	1	ENSMUSG00000106868	
Pdlim4	1	ENSMUSG00000020388	
Got2-ps1	1	ENSMUSG00000080935	
A930007A09Rik	1	ENSMUSG00000118559	
Nfkbil1	1	ENSMUSG00000042419	
Oit3	1	ENSMUSG00000009654	
Amh	1	ENSMUSG00000035262	
Gm20784	1	ENSMUSG00000114951	
9230116L04Rik	1	ENSMUSG00000112489	
Gm20775	1	ENSMUSG00000075359	
Gm17121	1	ENSMUSG00000096579	
Amn	1	ENSMUSG00000021278	
Rrp7a	1	ENSMUSG00000018040	
Dis3	1	ENSMUSG00000033166	
Gm5643	1	ENSMUSG00000083311	
Gm6975	1	ENSMUSG00000118059	
Gm5644	1	ENSMUSG00000100104	
Gm6974	1	ENSMUSG00000117673	
Them4	1	ENSMUSG00000028145	
Amt	1	ENSMUSG00000032607	
Gm4316	1	ENSMUSG00000110537	
Them6	1	ENSMUSG00000056665	
Gm5648	1	ENSMUSG00000083668	
Gm6978	1	ENSMUSG00000118133	
Gm4319	1	ENSMUSG00000102123	
Fam53a	1	ENSMUSG00000037339	
Fam53b	1	ENSMUSG00000030956	
Osbp2	1	ENSMUSG00000020435	
Fam53c	1	ENSMUSG00000034300	
Vps4a	1	ENSMUSG00000031913	
Vps4b	1	ENSMUSG00000009907	
Mcm3	1	ENSMUSG00000041859	
Mcm4	1	ENSMUSG00000022673	
Mcm5	1	ENSMUSG00000005410	
Mcm6	1	ENSMUSG00000026355	
Ang	1	ENSMUSG00000072115	
Gm44768	1	ENSMUSG00000108496	
3830406C13Rik	1	ENSMUSG00000033111	
Pltp	1	ENSMUSG00000017754	
Mcm2	1	ENSMUSG00000002870	
Ank	1	ENSMUSG00000022265	
Inafm2	1	ENSMUSG00000074918	
Inafm1	1	ENSMUSG00000091811	
Vps50	1	ENSMUSG00000001376	
Vps51	1	ENSMUSG00000024797	
Vps52	1	ENSMUSG00000024319	
Gm5611	1	ENSMUSG00000090602	
Vps53	1	ENSMUSG00000017288	
Gm5612	1	ENSMUSG00000074501	
Vps54	1	ENSMUSG00000020128	
9130008F23Rik	1	ENSMUSG00000054951	
Gm6944	1	ENSMUSG00000098141	
Osbpl1a	1	ENSMUSG00000044252	
Gm5614	1	ENSMUSG00000066771	
D2hgdh	1	ENSMUSG00000073609	
Gm5616	1	ENSMUSG00000063543	
Gm6947	1	ENSMUSG00000101617	
Gm5617	1	ENSMUSG00000042293	
Gm5619	1	ENSMUSG00000099980	
Gm30124	1	ENSMUSG00000116627	
Gm30122	1	ENSMUSG00000112433	
Nfs1	1	ENSMUSG00000027618	
Lrrk1	1	ENSMUSG00000015133	
C1d	1	ENSMUSG00000000581	
Lrrk2	1	ENSMUSG00000036273	
Arrb2	1	ENSMUSG00000060216	
Arrb1	1	ENSMUSG00000018909	
Bco2	1	ENSMUSG00000032066	
Bco1	1	ENSMUSG00000031845	
Gm43403	1	ENSMUSG00000105676	
Bod1l	1	ENSMUSG00000061755	
Mtrfr	1	ENSMUSG00000047635	
Tspear	1	ENSMUSG00000069581	
Gm5620	1	ENSMUSG00000056904	
Gm5621	1	ENSMUSG00000101597	
Vps41	1	ENSMUSG00000041236	
Vps45	1	ENSMUSG00000015747	
Iars2	1	ENSMUSG00000026618	
Gm5626	1	ENSMUSG00000113660	
Folr1	1	ENSMUSG00000001827	
Gm17149	1	ENSMUSG00000090334	
Gm5627	1	ENSMUSG00000093812	
Folr2	1	ENSMUSG00000032725	
Gm5628	1	ENSMUSG00000113750	
Gm17147	1	ENSMUSG00000090939	
Dpagt1	1	ENSMUSG00000032123	
Gm31432	1	ENSMUSG00000110767	
Itih5	1	ENSMUSG00000025780	
Itih4	1	ENSMUSG00000021922	
Itih3	1	ENSMUSG00000006522	
Itih2	1	ENSMUSG00000037254	
Apc	1	ENSMUSG00000005871	
Mpc1-ps	1	ENSMUSG00000091498	
Hk1os	1	ENSMUSG00000085347	
Mrto4-ps2	1	ENSMUSG00000091105	
Mrto4-ps1	1	ENSMUSG00000113749	
Enox1	1	ENSMUSG00000022012	
Enox2	1	ENSMUSG00000031109	
App	1	ENSMUSG00000022892	
Abcb10	1	ENSMUSG00000031974	
Surf6	1	ENSMUSG00000036160	
Fnip1	1	ENSMUSG00000035992	
Fnip2	1	ENSMUSG00000061175	
Sh3glb1	1	ENSMUSG00000037062	
Sh3glb2	1	ENSMUSG00000026860	
Nfu1	1	ENSMUSG00000029993	
Fbxl12os	1	ENSMUSG00000062470	
Cyp1b1	1	ENSMUSG00000024087	
Gsap	1	ENSMUSG00000039934	
Gsc2	1	ENSMUSG00000022738	
Cxxc1	1	ENSMUSG00000024560	
Bcor	1	ENSMUSG00000040363	
Cxxc4	1	ENSMUSG00000044365	
Scamp3	1	ENSMUSG00000028049	
Scamp2	1	ENSMUSG00000040188	
Cxxc5	1	ENSMUSG00000046668	
Scamp1	1	ENSMUSG00000021687	
Scamp5	1	ENSMUSG00000040722	
Aqr	1	ENSMUSG00000040383	
Scamp4	1	ENSMUSG00000113949	
Vps37a	1	ENSMUSG00000031600	
Grpel2	1	ENSMUSG00000024580	
Vps37b	1	ENSMUSG00000066278	
Vps37c	1	ENSMUSG00000048832	
Grpel1	1	ENSMUSG00000029198	
Vps37d	1	ENSMUSG00000043614	
Cmklr1	1	ENSMUSG00000042190	
Cmklr2	1	ENSMUSG00000046856	
Cnot6l	1	ENSMUSG00000034724	
C4b	1	ENSMUSG00000073418	
Tram1l1	1	ENSMUSG00000044528	
C4a	1	ENSMUSG00000015451	
Arc	1	ENSMUSG00000022602	
Svbp	1	ENSMUSG00000028643	
Cyp1a1	1	ENSMUSG00000032315	
Hnrnpr	1	ENSMUSG00000066037	
Pcdhb16	1	ENSMUSG00000047910	
Pcdhb17	1	ENSMUSG00000046387	
Arx	1	ENSMUSG00000035277	
Pcdhb18	1	ENSMUSG00000048347	
Hnrnpu	1	ENSMUSG00000039630	
Pcdhb19	1	ENSMUSG00000043313	
Saxo2	1	ENSMUSG00000038570	
Maskbp3	1	ENSMUSG00000117942	
1700003G18Rik	1	ENSMUSG00000087621	
Pcdhb12	1	ENSMUSG00000043458	
Pcdhb13	1	ENSMUSG00000047307	
Gse1	1	ENSMUSG00000031822	
Pcdhb14	1	ENSMUSG00000044043	
Asl	1	ENSMUSG00000025533	
Pcdhb15	1	ENSMUSG00000047033	
Pcdhb10	1	ENSMUSG00000045657	
Ilrun	1	ENSMUSG00000056692	
Pcdhb11	1	ENSMUSG00000051486	
Acer2	1	ENSMUSG00000038007	
Cftr	1	ENSMUSG00000041301	
Acer3	1	ENSMUSG00000030760	
Lrrn1	1	ENSMUSG00000034648	
Surf1	1	ENSMUSG00000015790	
Scgb1b30	1	ENSMUSG00000078752	
Lrrn2	1	ENSMUSG00000026443	
Surf2	1	ENSMUSG00000014873	
Hnrnpc	1	ENSMUSG00000060373	
Lrrn3	1	ENSMUSG00000036295	
Surf4	1	ENSMUSG00000014867	
Hnrnpd	1	ENSMUSG00000000568	
Hnrnpf	1	ENSMUSG00000042079	
Atm	1	ENSMUSG00000034218	
Paics	1	ENSMUSG00000029247	
Hnrnpk	1	ENSMUSG00000021546	
Pcdhb20	1	ENSMUSG00000046191	
Hnrnpl	1	ENSMUSG00000015165	
Atr	1	ENSMUSG00000032409	
Pcdhb21	1	ENSMUSG00000044022	
Hnrnpm	1	ENSMUSG00000059208	
Pcdhb22	1	ENSMUSG00000073591	
Glt1d1	1	ENSMUSG00000049971	
H2ax	1	ENSMUSG00000049932	
Aldh3a2	1	ENSMUSG00000010025	
Aldh3a1	1	ENSMUSG00000019102	
Rsf1	1	ENSMUSG00000035623	
D030016M11Rik	1	ENSMUSG00000121251	
Gsg1	1	ENSMUSG00000030206	
Auh	1	ENSMUSG00000021460	
Rsrc2	1	ENSMUSG00000029422	
Mirt2	1	ENSMUSG00000115946	
Mirt1	1	ENSMUSG00000097636	
Pdrg1	1	ENSMUSG00000027472	
2010103J01Rik	1	ENSMUSG00000104368	
Tyk2	1	ENSMUSG00000032175	
Rps4l-ps	1	ENSMUSG00000046411	
Rsrc1	1	ENSMUSG00000034544	
Glycam1	1	ENSMUSG00000022491	
Gm30177	1	ENSMUSG00000114708	
H2aj	1	ENSMUSG00000060032	
C8g	1	ENSMUSG00000015083	
Nfx1	1	ENSMUSG00000028423	
Gm30173	1	ENSMUSG00000103965	
Rsl24d1	1	ENSMUSG00000032215	
Svil	1	ENSMUSG00000024236	
A230072C01Rik	1	ENSMUSG00000086877	
Nfyb	1	ENSMUSG00000020248	
Deptor	1	ENSMUSG00000022419	
Nfya	1	ENSMUSG00000023994	
Nfyc	1	ENSMUSG00000032897	
Scn11a	1	ENSMUSG00000034115	
5530601H04Rik	1	ENSMUSG00000087174	
Lmcd1	1	ENSMUSG00000057604	
Svip	1	ENSMUSG00000074093	
Abcb1a	1	ENSMUSG00000040584	
Abcb1b	1	ENSMUSG00000028970	
Sec14l1	1	ENSMUSG00000020823	
Sec14l2	1	ENSMUSG00000003585	
Sec14l4	1	ENSMUSG00000019368	
Sec14l5	1	ENSMUSG00000091712	
Emc2	1	ENSMUSG00000022337	
Qpct	1	ENSMUSG00000024084	
Emc1	1	ENSMUSG00000078517	
Emc4	1	ENSMUSG00000027131	
Tmub1	1	ENSMUSG00000028958	
Sebox	1	ENSMUSG00000001103	
Emc3	1	ENSMUSG00000030286	
BC030343	1	ENSMUSG00000105345	
Emc6	1	ENSMUSG00000047260	
Emc8	1	ENSMUSG00000031819	
Emc7	1	ENSMUSG00000055943	
Emc9	1	ENSMUSG00000022217	
Tmub2	1	ENSMUSG00000034757	
Mcub	1	ENSMUSG00000027994	
AU021092	1	ENSMUSG00000051669	
Pbld1	1	ENSMUSG00000112129	
Gm30198	1	ENSMUSG00000113265	
Axl	1	ENSMUSG00000002602	
Iglon5	1	ENSMUSG00000013367	
Gm30191	1	ENSMUSG00000108398	
Aarsd1	1	ENSMUSG00000075528	
Pbld2	1	ENSMUSG00000020072	
Creg2	1	ENSMUSG00000050967	
Creg1	1	ENSMUSG00000040713	
Rsrp1	1	ENSMUSG00000037266	
Timm17a	1	ENSMUSG00000062580	
8030442B05Rik	1	ENSMUSG00000102674	
Timm17b	1	ENSMUSG00000031158	
Emcn	1	ENSMUSG00000054690	
Eme2	1	ENSMUSG00000073436	
Eme1	1	ENSMUSG00000039055	
Dkkl1	1	ENSMUSG00000030792	
Tymp	1	ENSMUSG00000022615	
Tyms	1	ENSMUSG00000025747	
Rpl26-ps2	1	ENSMUSG00000066489	
4933432K03Rik	1	ENSMUSG00000108811	
Eif4a3l2	1	ENSMUSG00000107906	
Eif4a3l1	1	ENSMUSG00000094973	
2310010J17Rik	1	ENSMUSG00000097162	
Gm4285	1	ENSMUSG00000085829	
Rsl1	1	ENSMUSG00000058900	
2810449D17Rik	1	ENSMUSG00000120362	
E230029C05Rik	1	ENSMUSG00000097585	
Gm19815	1	ENSMUSG00000093716	
Rccd1	1	ENSMUSG00000038930	
A130010J15Rik	1	ENSMUSG00000079144	
Pmf1	1	ENSMUSG00000028066	
Gm19810	1	ENSMUSG00000111897	
Xxylt1	1	ENSMUSG00000047434	
Csf2rb2	1	ENSMUSG00000071714	
Emg1	1	ENSMUSG00000004268	
A530032D15Rik	1	ENSMUSG00000089844	
5730522E02Rik	1	ENSMUSG00000032985	
1500002C15Rik	1	ENSMUSG00000096221	
8430432A02Rik	1	ENSMUSG00000041878	
Gm4294	1	ENSMUSG00000078377	
Tom1l2	1	ENSMUSG00000000538	
Tom1l1	1	ENSMUSG00000020541	
Aldh3b1	1	ENSMUSG00000024885	
Nsfl1c	1	ENSMUSG00000027455	
Cltrn	1	ENSMUSG00000015401	
Tarm1	1	ENSMUSG00000053338	
Pmch	1	ENSMUSG00000035383	
Aldh3b3	1	ENSMUSG00000037263	
D830025C05Rik	1	ENSMUSG00000043794	
Aldh3b2	1	ENSMUSG00000075296	
Fpgt	1	ENSMUSG00000053870	
Gm19807	1	ENSMUSG00000092223	
Fpgs	1	ENSMUSG00000009566	
mt-Cytb	1	ENSMUSG00000064370	
Tvp23b	1	ENSMUSG00000014177	
Tvp23a	1	ENSMUSG00000050908	
6720432D03Rik	1	ENSMUSG00000111511	
Zap70	1	ENSMUSG00000026117	
1110019D14Rik	1	ENSMUSG00000097616	
Svop	1	ENSMUSG00000042078	
Aqp11	1	ENSMUSG00000042797	
Lingo4	1	ENSMUSG00000044505	
Sdf2l1	1	ENSMUSG00000022769	
Lingo3	1	ENSMUSG00000051067	
Cdadc1	1	ENSMUSG00000021982	
Lingo2	1	ENSMUSG00000045083	
Lingo1	1	ENSMUSG00000049556	
Cgas	1	ENSMUSG00000032344	
Baiap3	1	ENSMUSG00000047507	
Cks1b	1	ENSMUSG00000028044	
Baiap2	1	ENSMUSG00000025372	
Creb1	1	ENSMUSG00000025958	
Creb3	1	ENSMUSG00000028466	
Pmel	1	ENSMUSG00000025359	
Vps33a	1	ENSMUSG00000029434	
Vps33b	1	ENSMUSG00000030534	
Omt2a	1	ENSMUSG00000066463	
Creb5	1	ENSMUSG00000053007	
Rskr	1	ENSMUSG00000037593	
Hapstr1	1	ENSMUSG00000022507	
Enpep	1	ENSMUSG00000028024	
A930005G22Rik	1	ENSMUSG00000106887	
Fundc2	1	ENSMUSG00000031198	
Fundc1	1	ENSMUSG00000025040	
A930016O22Rik	1	ENSMUSG00000040705	
Hmg20a	1	ENSMUSG00000032329	
Hmg20b	1	ENSMUSG00000020232	
Rps19-ps10	1	ENSMUSG00000089800	
Donson	1	ENSMUSG00000022960	
Rps19-ps12	1	ENSMUSG00000097552	
Tyw1	1	ENSMUSG00000056310	
Kcnab1	1	ENSMUSG00000027827	
Kcnab2	1	ENSMUSG00000028931	
Pot1b	1	ENSMUSG00000024174	
Pot1a	1	ENSMUSG00000029676	
Kcnab3	1	ENSMUSG00000018470	
Oscar	1	ENSMUSG00000054594	
