NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GAUSSMANN_MLL_AF4_FUSION_TARGETS_C_DN	23	21		
GAUSSMANN_MLL_AF4_FUSION_TARGETS_C_UP	184	176		
GAUSSMANN_MLL_AF4_FUSION_TARGETS_D_DN	10		Rejected!	
GAUSSMANN_MLL_AF4_FUSION_TARGETS_D_UP	38	37		
GAUSSMANN_MLL_AF4_FUSION_TARGETS_E_DN	27	23		
GAUSSMANN_MLL_AF4_FUSION_TARGETS_E_UP	103	96		
GAUSSMANN_MLL_AF4_FUSION_TARGETS_F_DN	39	37		
GAUSSMANN_MLL_AF4_FUSION_TARGETS_F_UP	188	184		
GAUSSMANN_MLL_AF4_FUSION_TARGETS_G_DN	37	36		
GAUSSMANN_MLL_AF4_FUSION_TARGETS_G_UP	269	231		
GAVIN_FOXP3_TARGETS_CLUSTER_P2	86	79		
GAVIN_FOXP3_TARGETS_CLUSTER_P3	169	161		
GAVIN_FOXP3_TARGETS_CLUSTER_P4	102	97		
GAVIN_FOXP3_TARGETS_CLUSTER_P6	95	93		
GAVIN_FOXP3_TARGETS_CLUSTER_P7	95	90		
GAVIN_FOXP3_TARGETS_CLUSTER_T4	98	94		
GAVIN_FOXP3_TARGETS_CLUSTER_T7	102	99		
GAVIN_IL2_RESPONSIVE_FOXP3_TARGETS_DN	5		Rejected!	
GAVIN_IL2_RESPONSIVE_FOXP3_TARGETS_UP	20	18		
GAVIN_PDE3B_TARGETS	22	19		
GAZIN_EPIGENETIC_SILENCING_BY_KRAS	25	24		
GERHOLD_ADIPOGENESIS_DN	63	62		
GERHOLD_ADIPOGENESIS_UP	48	47		
GERHOLD_RESPONSE_TO_TZD_DN	13		Rejected!	
GERHOLD_RESPONSE_TO_TZD_UP	6		Rejected!	
GERY_CEBP_TARGETS	139	131		
GESERICK_TERT_TARGETS_DN	21	21		
GIBBONS_GENETIC_MOUSE_MODEL_LUNG_ADENOCARCINOMA_DOWN_IN_METASTASIS	19		Rejected!	
GIBBONS_GENETIC_MOUSE_MODEL_LUNG_ADENOCARCINOMA_UP_IN_METASTASIS	18		Rejected!	
GLINSKY_CANCER_DEATH_UP	8		Rejected!	
GOBERT_CORE_OLIGODENDROCYTE_DIFFERENTIATION	44	44		
GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_DN	1122		Rejected!	
GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_UP	596		Rejected!	
GOLDRATH_ANTIGEN_RESPONSE	386	348		
GOLDRATH_HOMEOSTATIC_PROLIFERATION	155	149		
GOLDRATH_IMMUNE_MEMORY	66	66		
GOTZMANN_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN	212	204		
GOTZMANN_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP	72	71		
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN	1794		Rejected!	
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_UP	1198		Rejected!	
GRAESSMANN_APOPTOSIS_BY_SERUM_DEPRIVATION_DN	239	228		
GRAESSMANN_APOPTOSIS_BY_SERUM_DEPRIVATION_UP	612		Rejected!	
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_DN	783		Rejected!	
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_UP	624		Rejected!	
GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_DN	87	79		
GRAESSMANN_RESPONSE_TO_MC_AND_SERUM_DEPRIVATION_UP	236	222		
GREENBAUM_E2A_TARGETS_DN	22	22		
GREENBAUM_E2A_TARGETS_UP	33	33		
GROSS_ELK3_TARGETS_DN	35	34		
GROSS_ELK3_TARGETS_UP	28	27		
GROSS_HIF1A_TARGETS_UP	8		Rejected!	
GROSS_HYPOXIA_VIA_ELK3_AND_HIF1A_DN	106	106		
GROSS_HYPOXIA_VIA_ELK3_AND_HIF1A_UP	145	143		
GROSS_HYPOXIA_VIA_ELK3_DN	160	157		
GROSS_HYPOXIA_VIA_ELK3_ONLY_DN	44	44		
GROSS_HYPOXIA_VIA_ELK3_ONLY_UP	34	34		
GROSS_HYPOXIA_VIA_ELK3_UP	211	210		
GROSS_HYPOXIA_VIA_HIF1A_DN	111	109		
GROSS_HYPOXIA_VIA_HIF1A_ONLY	9		Rejected!	
GUILLAUMOND_KLF10_TARGETS_DN	31	29		
GUILLAUMOND_KLF10_TARGETS_UP	50	44		
GUO_HEX_TARGETS_DN	69	64		
GUO_HEX_TARGETS_UP	77	75		
GUO_TARGETS_OF_IRS1_AND_IRS2	97	91		
HANSON_HRAS_SIGNALING_VIA_NFKB	24	20		
HAN_JNK_SINGALING_DN	41	39		
HAN_JNK_SINGALING_UP	39	39		
HARRIS_BRAIN_CANCER_PROGENITORS	43	40		
HASEGAWA_TUMORIGENESIS_BY_RET_C634R	9		Rejected!	
HESS_TARGETS_OF_HOXA9_AND_MEIS1_DN	86	85		
HESS_TARGETS_OF_HOXA9_AND_MEIS1_UP	69	66		
HEVNER_CORTEX_APICAL_AND_BASAL_INTERMEDIATE_PROGENITOR_CELLS	55	54		
HEVNER_CORTEX_APICAL_INTERMEDIATE_PROGENITOR_CELLS	12		Rejected!	
HEVNER_CORTEX_BASAL_INTERMEDIATE_PROGENITOR_CELLS	68	64		
HEVNER_CORTEX_CAJAL_RETZIUS_CELLS	8		Rejected!	
HEVNER_CORTEX_CAUDAL_CORTICAL_PLATE	30	30		
HEVNER_CORTEX_CAUDAL_INTERMEDIATE_ZONE	9		Rejected!	
HEVNER_CORTEX_CAUDAL_SUBVENTRICULAR_ZONE	39	35		
HEVNER_CORTEX_CAUDAL_VENTRICULAR_ZONE	45	44		
HEVNER_CORTEX_COMMITTED_TO_CALLOSAL_PROJECTION_NEURON_FATE	21	21		
HEVNER_CORTEX_COMMITTED_TO_CORTICOTHALAMIC_PROJECTION_NEURON_FATE	25	24		
HEVNER_CORTEX_COMMITTED_TO_SUBCEREBRAL_PROJECTION_NEURON_FATE	9		Rejected!	
HEVNER_CORTEX_CORTICAL_HEM	14		Rejected!	
HEVNER_CORTEX_G1_S_PHASE	5		Rejected!	
HEVNER_CORTEX_INTERNEURON_PRECURSOR_CELLS	25	25		
HEVNER_CORTEX_NEURAL_STEM_AND_PROGENITOR_CELLS	9		Rejected!	
HEVNER_CORTEX_NEURAL_STEM_CELLS	15	15		
HEVNER_CORTEX_PROLIFERATING_CELLS	25	25		
HEVNER_CORTEX_QUIESCENCE	13		Rejected!	
HEVNER_CORTEX_RADIAL_GLIA_PROGENITORS	419	418		
HEVNER_CORTEX_ROSTRAL_CORTICAL_PLATE	42	39		
HEVNER_CORTEX_ROSTRAL_INTERMEDIATE_ZONE	11		Rejected!	
HEVNER_CORTEX_ROSTRAL_SUBVENTRICULAR_ZONE	11		Rejected!	
HEVNER_CORTEX_ROSTRAL_VENTRICULAR_ZONE	30	30		
HEVNER_CORTEX_S_PHASE	6		Rejected!	
HEVNER_CORTEX_VASCULAR_ENDOTHELIAL_CELLS	19	19		
HEVNER_CORTICAL_PLATE_POSTMITOTIC_NEURONS	136	133		
HEVNER_CORTICAL_PLATE_POSTMITOTIC_PROJECTION_NEURONS	147	144		
HEVNER_HIPPOCAMPAL_CELLS	7		Rejected!	
HEVNER_INTERMEDIATE_ZONE_AND_UP_POSTMITOTIC_NEURONS	64	63		
HEVNER_INTERMEDIATE_ZONE_AND_UP_POSTMITOTIC_PROJECTION_NEURONS	56	56		
HEVNER_SUBPLATE_PROJECTION_NEURONS	11		Rejected!	
HEVNER_SUBVENTRICULAR_ZONE_AND_UP_NEURON_FATE_COMMITTED_CELLS	48	48		
HEVNER_SUBVENTRICULAR_ZONE_AND_UP_PROJECTION_NEURON_FATE_COMMITTED_CELLS	14		Rejected!	
HEVNER_TELENCEPHALON_ASTROCYTES	6		Rejected!	
HEVNER_TELENCEPHALON_CHOROID_PLEXUS_EPITHELIAL_CELLS	19	19		
HEVNER_TELENCEPHALON_ERYTHROCYTES	7		Rejected!	
HEVNER_TELENCEPHALON_MENINGEAL_CELLS	49	46		
HEVNER_TELENCEPHALON_MICROGLIA	26	26		
HEVNER_TELENCEPHALON_VASCULAR_ENDOTHELIUM_AND_MENINGEAL_CELLS	15	15		
HEVNER_VENTRICULAR_ZONE_AND_UP_NEURON_FATE_COMMITTED_CELLS	15	15		
HEVNER_VENTRICULAR_ZONE_AND_UP_PROJECTION_NEURON_FATE_COMMITTED_CELLS	8		Rejected!	
HEVNER_Y_CHROMOSOME_EXPRESSION	5		Rejected!	
HE_PTEN_TARGETS_DN	7		Rejected!	
HE_PTEN_TARGETS_UP	18	18		
HOFFMANN_IMMATURE_TO_MATURE_B_LYMPHOCYTE_DN	48	46		
HOFFMANN_IMMATURE_TO_MATURE_B_LYMPHOCYTE_UP	44	38		
HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_DN	69	60		
HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP	154	151		
HOFFMANN_PRE_BI_TO_LARGE_PRE_BII_LYMPHOCYTE_DN	79	74		
HOFFMANN_PRE_BI_TO_LARGE_PRE_BII_LYMPHOCYTE_UP	30	27		
HOFFMANN_SMALL_PRE_BII_TO_IMMATURE_B_LYMPHOCYTE_DN	38	35		
HOFFMANN_SMALL_PRE_BII_TO_IMMATURE_B_LYMPHOCYTE_UP	67	62		
HOLLERN_EMT_BREAST_TUMOR_DN	124	114		
HOLLERN_EMT_BREAST_TUMOR_UP	140	139		
HOLLERN_MICROACINAR_BREAST_TUMOR_DN	15	15		
HOLLERN_MICROACINAR_BREAST_TUMOR_UP	48	44		
HOLLERN_PAPILLARY_BREAST_TUMOR	20	17		
HOLLERN_SQUAMOUS_BREAST_TUMOR	193	119		
HORTON_SREBF_TARGETS	24	24		
HOUNKPE_HOUSEKEEPING_GENES	1130		Rejected!	
HOUSTIS_ROS	36	35		
HOWLIN_CITED1_TARGETS_1_DN	41	40		
HOWLIN_CITED1_TARGETS_1_UP	35	33		
HOWLIN_CITED1_TARGETS_2_DN	19	17		
HOWLIN_CITED1_TARGETS_2_UP	20	18		
HOWLIN_PUBERTAL_MAMMARY_GLAND	73	63		
HUANG_GATA2_TARGETS_DN	75	71		
HUANG_GATA2_TARGETS_UP	154	147		
HUI_MAPK14_TARGETS_UP	22	20		
HUMMERICH_BENIGN_SKIN_TUMOR_DN	20	15		
HUMMERICH_BENIGN_SKIN_TUMOR_UP	19	15		
HUMMERICH_MALIGNANT_SKIN_TUMOR_DN	20	16		
HUMMERICH_MALIGNANT_SKIN_TUMOR_UP	19	17		
HUMMERICH_SKIN_CANCER_PROGRESSION_DN	103	97		
HUMMERICH_SKIN_CANCER_PROGRESSION_UP	89	85		
HU_GENOTOXIC_DAMAGE_24HR	39	38		
HU_GENOTOXIC_DAMAGE_4HR	39	38		
HU_GENOTOXIN_ACTION_DIRECT_VS_INDIRECT_24HR	52	50		
HU_GENOTOXIN_ACTION_DIRECT_VS_INDIRECT_4HR	38	37		
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_DN	62	44		
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP	155	149		
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_DN	55	37		
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP	130	123		
IGLESIAS_E2F_TARGETS_DN	17		Rejected!	
IGLESIAS_E2F_TARGETS_UP	145	143		
IKEDA_MIR133_TARGETS_DN	6		Rejected!	
IKEDA_MIR133_TARGETS_UP	44	44		
IKEDA_MIR1_TARGETS_DN	7		Rejected!	
IKEDA_MIR1_TARGETS_UP	54	54		
IKEDA_MIR30_TARGETS_DN	24	23		
IKEDA_MIR30_TARGETS_UP	116	116		
IM_SREBF1A_TARGETS	6		Rejected!	
INGRAM_SHH_TARGETS_DN	66	63		
INGRAM_SHH_TARGETS_UP	133	124		
IRITANI_MAD1_TARGETS_DN	46	46		
IRITANI_MAD1_TARGETS_UP	16		Rejected!	
ISHIDA_E2F_TARGETS	55	54		
IVANOVA_HEMATOPOIESIS_EARLY_PROGENITOR	471	450		
IVANOVA_HEMATOPOIESIS_INTERMEDIATE_PROGENITOR	137	132		
IVANOVA_HEMATOPOIESIS_LATE_PROGENITOR	535		Rejected!	
IVANOVA_HEMATOPOIESIS_MATURE_CELL	309	292		
IVANOVA_HEMATOPOIESIS_STEM_CELL	202	178		
IVANOVA_HEMATOPOIESIS_STEM_CELL_AND_PROGENITOR	603		Rejected!	
IVANOVA_HEMATOPOIESIS_STEM_CELL_LONG_TERM	243	215		
IVANOVA_HEMATOPOIESIS_STEM_CELL_SHORT_TERM	23	20		
IWANAGA_CARCINOGENESIS_BY_KRAS_DN	129	119		
IWANAGA_CARCINOGENESIS_BY_KRAS_PTEN_DN	395	353		
IWANAGA_CARCINOGENESIS_BY_KRAS_PTEN_UP	211	185		
IWANAGA_CARCINOGENESIS_BY_KRAS_UP	184	171		
JACKSON_DNMT1_TARGETS_DN	23	22		
JACKSON_DNMT1_TARGETS_UP	92	88		
JARDIM_PERASSI_TRIPLE_NEGATIVE_BREAST_CANCER_MOUSE_XENOGRAFT_MELATONIN_DN	14		Rejected!	
JARDIM_PERASSI_TRIPLE_NEGATIVE_BREAST_CANCER_MOUSE_XENOGRAFT_MELATONIN_UP	43	36		
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_DN	62	59		
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP	70	69		
JEPSEN_SMRT_TARGETS	34	34		
JIANG_AGING_CEREBRAL_CORTEX_DN	49	49		
JIANG_AGING_CEREBRAL_CORTEX_UP	34	33		
JIANG_AGING_HYPOTHALAMUS_DN	35	35		
JIANG_AGING_HYPOTHALAMUS_UP	50	50		
JI_CARCINOGENESIS_BY_KRAS_AND_STK11_DN	17	17		
JI_CARCINOGENESIS_BY_KRAS_AND_STK11_UP	12		Rejected!	
JOHANSSON_BRAIN_CANCER_EARLY_VS_LATE_DN	43	43		
JOHANSSON_BRAIN_CANCER_EARLY_VS_LATE_UP	7		Rejected!	
JOHANSSON_GLIOMAGENESIS_BY_PDGFB_DN	22	22		
JOHANSSON_GLIOMAGENESIS_BY_PDGFB_UP	57	57		
JONES_TCOF1_TARGETS	5		Rejected!	
JU_AGING_TERC_TARGETS_UP	7		Rejected!	
KAMIKUBO_MYELOID_CEBPA_NETWORK	30	30		
KAMIKUBO_MYELOID_MN1_NETWORK	19	19		
KAMMINGA_EZH2_TARGETS	41	41		
KAMMINGA_SENESCENCE	41	41		
KANG_AR_TARGETS_DN	18	16		
KANG_AR_TARGETS_UP	17	16		
KANG_GLIS3_TARGETS	37	27		
KARLSSON_TGFB1_TARGETS_DN	197	195		
KARLSSON_TGFB1_TARGETS_UP	127	127		
KASLER_HDAC7_TARGETS_1_DN	18	18		
KASLER_HDAC7_TARGETS_1_UP	193	188		
KASLER_HDAC7_TARGETS_2_DN	33	33		
KASLER_HDAC7_TARGETS_2_UP	8		Rejected!	
KATSANOU_ELAVL1_TARGETS_DN	153	139		
KATSANOU_ELAVL1_TARGETS_UP	223	179		
KHETCHOUMIAN_TRIM24_TARGETS_DN	8		Rejected!	
KHETCHOUMIAN_TRIM24_TARGETS_UP	47	47		
KIM_GLIS2_TARGETS_DN	6		Rejected!	
KIM_GLIS2_TARGETS_UP	88	84		
KINNEY_DNMT1_METHYLATION_TARGETS	18		Rejected!	
KOHOUTEK_CCNT1_TARGETS	52	49		
KOHOUTEK_CCNT2_TARGETS	63	54		
KONG_E2F1_TARGETS	13		Rejected!	
KONG_E2F3_TARGETS	107	103		
KRISHNAN_FURIN_TARGETS_DN	10		Rejected!	
KRISHNAN_FURIN_TARGETS_UP	12		Rejected!	
KUMAR_TARGETS_OF_MLL_AF9_FUSION	436	385		
