NAME	TITLE	SCORE	
Cytip	cytohesin 1 interacting protein [Source:MGI Symbol;Acc:MGI:2183535]	3.1720238	
Comp	cartilage oligomeric matrix protein [Source:MGI Symbol;Acc:MGI:88469]	3.1671145	
H2-M2	histocompatibility 2, M region locus 2 [Source:MGI Symbol;Acc:MGI:95914]	3.1185615	
Cd86	CD86 antigen [Source:MGI Symbol;Acc:MGI:101773]	3.112585	
Klk8	kallikrein related-peptidase 8 [Source:MGI Symbol;Acc:MGI:1343327]	3.095223	
Cd300ld	CD300 molecule like family member d [Source:MGI Symbol;Acc:MGI:2442358]	3.093877	
Ifi209	interferon activated gene 209 [Source:MGI Symbol;Acc:MGI:2138243]	3.0477855	
Tlr1	toll-like receptor 1 [Source:MGI Symbol;Acc:MGI:1341295]	3.035882	
Nupr1	nuclear protein transcription regulator 1 [Source:MGI Symbol;Acc:MGI:1891834]	3.0332525	
Glrx	glutaredoxin [Source:MGI Symbol;Acc:MGI:2135625]	3.0242374	
Iigp1	interferon inducible GTPase 1 [Source:MGI Symbol;Acc:MGI:1926259]	3.0165215	
Siglech	sialic acid binding Ig-like lectin H [Source:MGI Symbol;Acc:MGI:2443256]	3.016348	
Spic	Spi-C transcription factor (Spi-1/PU.1 related) [Source:MGI Symbol;Acc:MGI:1341168]	2.984781	
Hck	hemopoietic cell kinase [Source:MGI Symbol;Acc:MGI:96052]	2.9818773	
Ptger4	prostaglandin E receptor 4 (subtype EP4) [Source:MGI Symbol;Acc:MGI:104311]	2.9778435	
Epsti1	epithelial stromal interaction 1 (breast) [Source:MGI Symbol;Acc:MGI:1915168]	2.966871	
Scimp	SLP adaptor and CSK interacting membrane protein [Source:MGI Symbol;Acc:MGI:3610314]	2.9619243	
Naalad2	N-acetylated alpha-linked acidic dipeptidase 2 [Source:MGI Symbol;Acc:MGI:1919810]	2.9526737	
Tarm1	T cell-interacting, activating receptor on myeloid cells 1 [Source:MGI Symbol;Acc:MGI:2442280]	2.9371278	
Usp18	ubiquitin specific peptidase 18 [Source:MGI Symbol;Acc:MGI:1344364]	2.9246113	
Mx2	MX dynamin-like GTPase 2 [Source:MGI Symbol;Acc:MGI:97244]	2.9192843	
Gatm	glycine amidinotransferase (L-arginine:glycine amidinotransferase) [Source:MGI Symbol;Acc:MGI:1914342]	2.9186988	
Clec7a	C-type lectin domain family 7, member a [Source:MGI Symbol;Acc:MGI:1861431]	2.9114728	
Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated) [Source:MGI Symbol;Acc:MGI:96534]	2.8837435	
Fpr1	formyl peptide receptor 1 [Source:MGI Symbol;Acc:MGI:107443]	2.8779266	
Tmem163	transmembrane protein 163 [Source:MGI Symbol;Acc:MGI:1919410]	2.8778389	
Gm20559	predicted gene, 20559 [Source:MGI Symbol;Acc:MGI:5295666]	2.8751674	
Gm12250	predicted gene 12250 [Source:MGI Symbol;Acc:MGI:3649299]	2.869207	
H2-K1	histocompatibility 2, K1, K region [Source:MGI Symbol;Acc:MGI:95904]	2.8665586	
Ifit3b	interferon-induced protein with tetratricopeptide repeats 3B [Source:MGI Symbol;Acc:MGI:3698419]	2.8653305	
Trim30c	tripartite motif-containing 30C [Source:MGI Symbol;Acc:MGI:4821257]	2.8589673	
H2-K2	histocompatibility 2, K region locus 2 [Source:MGI Symbol;Acc:MGI:95906]	2.853425	
Il18bp	interleukin 18 binding protein [Source:MGI Symbol;Acc:MGI:1333800]	2.8385563	
H2-Q5	histocompatibility 2, Q region locus 5 [Source:MGI Symbol;Acc:MGI:95934]	2.8367262	
Ifi214	interferon activated gene 214 [Source:MGI Symbol;Acc:MGI:3584522]	2.8288906	
Pilrb1	paired immunoglobin-like type 2 receptor beta 1 [Source:MGI Symbol;Acc:MGI:2450532]	2.8254433	
Ifi204	interferon activated gene 204 [Source:MGI Symbol;Acc:MGI:96429]	2.8059838	
Gbp9	guanylate-binding protein 9 [Source:MGI Symbol;Acc:MGI:3605620]	2.798969	
Il21r	interleukin 21 receptor [Source:MGI Symbol;Acc:MGI:1890475]	2.7973855	
Ch25h	cholesterol 25-hydroxylase [Source:MGI Symbol;Acc:MGI:1333869]	2.7956686	
Ifit2	interferon-induced protein with tetratricopeptide repeats 2 [Source:MGI Symbol;Acc:MGI:99449]	2.790957	
B3gnt7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7 [Source:MGI Symbol;Acc:MGI:2384394]	2.7705095	
Rtp4	receptor transporter protein 4 [Source:MGI Symbol;Acc:MGI:1915025]	2.7645998	
Fgl2	fibrinogen-like protein 2 [Source:MGI Symbol;Acc:MGI:103266]	2.758101	
Tap1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) [Source:MGI Symbol;Acc:MGI:98483]	2.752228	
Helz2	helicase with zinc finger 2, transcriptional coactivator [Source:MGI Symbol;Acc:MGI:2385169]	2.747972	
Tnfsf8	tumor necrosis factor (ligand) superfamily, member 8 [Source:MGI Symbol;Acc:MGI:88328]	2.7327216	
Gpr35	G protein-coupled receptor 35 [Source:MGI Symbol;Acc:MGI:1929509]	2.730265	
Pvrig	poliovirus receptor related immunoglobulin domain containing [Source:MGI Symbol;Acc:MGI:5596028]	2.7188296	
Slc13a3	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 3 [Source:MGI Symbol;Acc:MGI:2149635]	2.7077577	
Samhd1	SAM domain and HD domain, 1 [Source:MGI Symbol;Acc:MGI:1927468]	2.7039804	
Klra2	killer cell lectin-like receptor, subfamily A, member 2 [Source:MGI Symbol;Acc:MGI:101906]	2.7029316	
Sp110	Sp110 nuclear body protein [Source:MGI Symbol;Acc:MGI:1923364]	2.6984603	
Rhobtb1	Rho-related BTB domain containing 1 [Source:MGI Symbol;Acc:MGI:1916538]	2.6892567	
Clec5a	C-type lectin domain family 5, member a [Source:MGI Symbol;Acc:MGI:1345151]	2.6705887	
Xylt2	xylosyltransferase II [Source:MGI Symbol;Acc:MGI:2444797]	2.663631	
Oas1b	2'-5' oligoadenylate synthetase 1B [Source:MGI Symbol;Acc:MGI:97430]	2.661766	
Mmp14	matrix metallopeptidase 14 (membrane-inserted) [Source:MGI Symbol;Acc:MGI:101900]	2.656861	
Ebi3	Epstein-Barr virus induced gene 3 [Source:MGI Symbol;Acc:MGI:1354171]	2.649045	
Igtp	interferon gamma induced GTPase [Source:MGI Symbol;Acc:MGI:107729]	2.6436062	
Slfn1	schlafen 1 [Source:MGI Symbol;Acc:MGI:1313259]	2.6435697	
Rac2	Rac family small GTPase 2 [Source:MGI Symbol;Acc:MGI:97846]	2.6368124	
Isg20	interferon-stimulated protein [Source:MGI Symbol;Acc:MGI:1928895]	2.628576	
B2m	beta-2 microglobulin [Source:MGI Symbol;Acc:MGI:88127]	2.6254208	
Phf11b	PHD finger protein 11B [Source:MGI Symbol;Acc:MGI:3645789]	2.6253903	
Nlrc3	NLR family, CARD domain containing 3 [Source:MGI Symbol;Acc:MGI:2444070]	2.622374	
Junb	jun B proto-oncogene [Source:MGI Symbol;Acc:MGI:96647]	2.6219914	
Vnn3	vanin 3 [Source:MGI Symbol;Acc:MGI:1347055]	2.6148822	
Ccl5	chemokine (C-C motif) ligand 5 [Source:MGI Symbol;Acc:MGI:98262]	2.6078565	
Gm28286	predicted gene 28286 [Source:MGI Symbol;Acc:MGI:5578992]	2.602602	
Rxrg	retinoid X receptor gamma [Source:MGI Symbol;Acc:MGI:98216]	2.6015475	
Plcb2	phospholipase C, beta 2 [Source:MGI Symbol;Acc:MGI:107465]	2.5995796	
Traf3ip3	TRAF3 interacting protein 3 [Source:MGI Symbol;Acc:MGI:2441706]	2.5941606	
Gm34084	predicted gene, 34084 [Source:MGI Symbol;Acc:MGI:5593243]	2.590639	
Ifi205	interferon activated gene 205 [Source:MGI Symbol;Acc:MGI:101847]	2.5839157	
Bcl2a1a	B cell leukemia/lymphoma 2 related protein A1a [Source:MGI Symbol;Acc:MGI:102687]	2.5834334	
Gm47403	predicted gene, 47403 [Source:MGI Symbol;Acc:MGI:6096332]	2.5816617	
Sp100	nuclear antigen Sp100 [Source:MGI Symbol;Acc:MGI:109561]	2.5811813	
Trim30a	tripartite motif-containing 30A [Source:MGI Symbol;Acc:MGI:98178]	2.571685	
1700071M16Rik	RIKEN cDNA 1700071M16 gene [Source:MGI Symbol;Acc:MGI:1920754]	2.5632062	
Tmem178	transmembrane protein 178 [Source:MGI Symbol;Acc:MGI:1915277]	2.5526223	
Xaf1	XIAP associated factor 1 [Source:MGI Symbol;Acc:MGI:3772572]	2.549346	
Colec12	collectin sub-family member 12 [Source:MGI Symbol;Acc:MGI:2152907]	2.547433	
Stat2	signal transducer and activator of transcription 2 [Source:MGI Symbol;Acc:MGI:103039]	2.5368035	
Slamf9	SLAM family member 9 [Source:MGI Symbol;Acc:MGI:1923692]	2.535428	
Ccl24	chemokine (C-C motif) ligand 24 [Source:MGI Symbol;Acc:MGI:1928953]	2.5348814	
Ifi206	interferon activated gene 206 [Source:MGI Symbol;Acc:MGI:3646410]	2.533982	
Gpr132	G protein-coupled receptor 132 [Source:MGI Symbol;Acc:MGI:1890220]	2.5309088	
Icam1	intercellular adhesion molecule 1 [Source:MGI Symbol;Acc:MGI:96392]	2.5303326	
Tm4sf5	transmembrane 4 superfamily member 5 [Source:MGI Symbol;Acc:MGI:1922854]	2.5272653	
Msr1	macrophage scavenger receptor 1 [Source:MGI Symbol;Acc:MGI:98257]	2.526334	
Tnf	tumor necrosis factor [Source:MGI Symbol;Acc:MGI:104798]	2.5261035	
Apobec3	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 3 [Source:MGI Symbol;Acc:MGI:1933111]	2.5224266	
Cd14	CD14 antigen [Source:MGI Symbol;Acc:MGI:88318]	2.517256	
Ifi203	interferon activated gene 203 [Source:MGI Symbol;Acc:MGI:96428]	2.5156581	
Herc6	hect domain and RLD 6 [Source:MGI Symbol;Acc:MGI:1914388]	2.509053	
Sdc3	syndecan 3 [Source:MGI Symbol;Acc:MGI:1349163]	2.5010436	
Themis2	thymocyte selection associated family member 2 [Source:MGI Symbol;Acc:MGI:2446213]	2.4973507	
Hba-a2	hemoglobin alpha, adult chain 2 [Source:MGI Symbol;Acc:MGI:96016]	2.4939284	
Alas2	aminolevulinic acid synthase 2, erythroid [Source:MGI Symbol;Acc:MGI:87990]	2.4840488	
Nfkbid	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, delta [Source:MGI Symbol;Acc:MGI:3041243]	2.475696	
Ly9	lymphocyte antigen 9 [Source:MGI Symbol;Acc:MGI:96885]	2.4741538	
Tnfsf10	tumor necrosis factor (ligand) superfamily, member 10 [Source:MGI Symbol;Acc:MGI:107414]	2.4738796	
Cd44	CD44 antigen [Source:MGI Symbol;Acc:MGI:88338]	2.4675398	
Serpinb1c	serine (or cysteine) peptidase inhibitor, clade B, member 1c [Source:MGI Symbol;Acc:MGI:2445363]	2.4674234	
Icosl	icos ligand [Source:MGI Symbol;Acc:MGI:1354701]	2.4289517	
Sp140	Sp140 nuclear body protein [Source:MGI Symbol;Acc:MGI:3702467]	2.4289248	
Cyth4	cytohesin 4 [Source:MGI Symbol;Acc:MGI:2441702]	2.4242437	
Cxcl10	chemokine (C-X-C motif) ligand 10 [Source:MGI Symbol;Acc:MGI:1352450]	2.4240663	
Siglec1	sialic acid binding Ig-like lectin 1, sialoadhesin [Source:MGI Symbol;Acc:MGI:99668]	2.4231913	
Gm9891	predicted gene 9891 [Source:MGI Symbol;Acc:MGI:3642023]	2.4150605	
H2-D1	histocompatibility 2, D region locus 1 [Source:MGI Symbol;Acc:MGI:95896]	2.4097538	
Timd4	T cell immunoglobulin and mucin domain containing 4 [Source:MGI Symbol;Acc:MGI:2445125]	2.405646	
Lag3	lymphocyte-activation gene 3 [Source:MGI Symbol;Acc:MGI:106588]	2.4054253	
Oas3	2'-5' oligoadenylate synthetase 3 [Source:MGI Symbol;Acc:MGI:2180850]	2.4026918	
Pld4	phospholipase D family, member 4 [Source:MGI Symbol;Acc:MGI:2144765]	2.3930826	
Galnt3	polypeptide N-acetylgalactosaminyltransferase 3 [Source:MGI Symbol;Acc:MGI:894695]	2.3900027	
Cnp	2',3'-cyclic nucleotide 3' phosphodiesterase [Source:MGI Symbol;Acc:MGI:88437]	2.3888888	
Bcl3	B cell leukemia/lymphoma 3 [Source:MGI Symbol;Acc:MGI:88140]	2.388843	
Gpr84	G protein-coupled receptor 84 [Source:MGI Symbol;Acc:MGI:1934129]	2.3841398	
Ccl22	chemokine (C-C motif) ligand 22 [Source:MGI Symbol;Acc:MGI:1306779]	2.3832407	
AW011738	expressed sequence AW011738 [Source:MGI Symbol;Acc:MGI:2140540]	2.3785853	
Phf11a	PHD finger protein 11A [Source:MGI Symbol;Acc:MGI:1918441]	2.3767772	
Slfn5	schlafen 5 [Source:MGI Symbol;Acc:MGI:1329004]	2.3760102	
Gm34643	predicted gene, 34643 [Source:MGI Symbol;Acc:MGI:5593802]	2.3704307	
Neurl3	neuralized E3 ubiquitin protein ligase 3 [Source:MGI Symbol;Acc:MGI:2429944]	2.3684978	
Gm8202	predicted gene 8202 [Source:MGI Symbol;Acc:MGI:3646496]	2.36662	
Gm11131	predicted gene 11131 [Source:MGI Symbol;Acc:MGI:3779386]	2.364349	
Snhg12	small nucleolar RNA host gene 12 [Source:MGI Symbol;Acc:MGI:1916721]	2.3623726	
Irgm2	immunity-related GTPase family M member 2 [Source:MGI Symbol;Acc:MGI:1926262]	2.3594522	
Cyria	CYFIP related Rac1 interactor A [Source:MGI Symbol;Acc:MGI:1261783]	2.3590417	
Nod2	nucleotide-binding oligomerization domain containing 2 [Source:MGI Symbol;Acc:MGI:2429397]	2.35828	
Hpn	hepsin [Source:MGI Symbol;Acc:MGI:1196620]	2.353431	
H2-T23	histocompatibility 2, T region locus 23 [Source:MGI Symbol;Acc:MGI:95957]	2.3377151	
Rrad	Ras-related associated with diabetes [Source:MGI Symbol;Acc:MGI:1930943]	2.3347404	
Batf	basic leucine zipper transcription factor, ATF-like [Source:MGI Symbol;Acc:MGI:1859147]	2.328588	
Ctss	cathepsin S [Source:MGI Symbol;Acc:MGI:107341]	2.3248785	
Dok2	docking protein 2 [Source:MGI Symbol;Acc:MGI:1332623]	2.3247414	
Tnip3	TNFAIP3 interacting protein 3 [Source:MGI Symbol;Acc:MGI:3041165]	2.3210182	
Tgtp2	T cell specific GTPase 2 [Source:MGI Symbol;Acc:MGI:3710083]	2.3198333	
Kctd12	potassium channel tetramerisation domain containing 12 [Source:MGI Symbol;Acc:MGI:2145823]	2.3182411	
Mcoln2	mucolipin 2 [Source:MGI Symbol;Acc:MGI:1915529]	2.3134816	
Pak1	p21 (RAC1) activated kinase 1 [Source:MGI Symbol;Acc:MGI:1339975]	2.3120239	
Samsn1	SAM domain, SH3 domain and nuclear localization signals, 1 [Source:MGI Symbol;Acc:MGI:1914992]	2.309058	
Gm4951	predicted gene 4951 [Source:MGI Symbol;Acc:MGI:3644953]	2.3057919	
Hmga2-ps1	high mobility group AT-hook 2, pseudogene 1 [Source:MGI Symbol;Acc:MGI:106023]	2.302799	
Oas2	2'-5' oligoadenylate synthetase 2 [Source:MGI Symbol;Acc:MGI:2180852]	2.300518	
Creb3l3	cAMP responsive element binding protein 3-like 3 [Source:MGI Symbol;Acc:MGI:2384786]	2.2996502	
Adgre1	adhesion G protein-coupled receptor E1 [Source:MGI Symbol;Acc:MGI:106912]	2.2981238	
Atp8a1	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1 [Source:MGI Symbol;Acc:MGI:1330848]	2.2975798	
Slfn2	schlafen 2 [Source:MGI Symbol;Acc:MGI:1313258]	2.2940066	
Siglece	sialic acid binding Ig-like lectin E [Source:MGI Symbol;Acc:MGI:1932475]	2.2937405	
Fcgr1	Fc receptor, IgG, high affinity I [Source:MGI Symbol;Acc:MGI:95498]	2.2911596	
Cd244a	CD244 molecule A [Source:MGI Symbol;Acc:MGI:109294]	2.2837799	
Trafd1	TRAF type zinc finger domain containing 1 [Source:MGI Symbol;Acc:MGI:1923551]	2.2837458	
Atxn7l1	ataxin 7-like 1 [Source:MGI Symbol;Acc:MGI:3584458]	2.2816136	
Fcrls	Fc receptor-like S, scavenger receptor [Source:MGI Symbol;Acc:MGI:1933397]	2.2769845	
Gbp2	guanylate binding protein 2 [Source:MGI Symbol;Acc:MGI:102772]	2.271752	
Nmi	N-myc (and STAT) interactor [Source:MGI Symbol;Acc:MGI:1928368]	2.2671127	
Zmynd15	zinc finger, MYND-type containing 15 [Source:MGI Symbol;Acc:MGI:3603821]	2.2642756	
Cspg4	chondroitin sulfate proteoglycan 4 [Source:MGI Symbol;Acc:MGI:2153093]	2.2637799	
Hbb-bt	hemoglobin, beta adult t chain [Source:MGI Symbol;Acc:MGI:5474850]	2.2615035	
Or52n4	olfactory receptor family 52 subfamily N member 4 [Source:MGI Symbol;Acc:MGI:3030492]	2.2609885	
Rnasel	ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent) [Source:MGI Symbol;Acc:MGI:1098272]	2.2568812	
Lyn	LYN proto-oncogene, Src family tyrosine kinase [Source:MGI Symbol;Acc:MGI:96892]	2.2551956	
G530011O06Rik	RIKEN cDNA G530011O06 gene [Source:MGI Symbol;Acc:MGI:3603513]	2.2543988	
Coro7	coronin 7 [Source:MGI Symbol;Acc:MGI:1926135]	2.253562	
Hba-a1	hemoglobin alpha, adult chain 1 [Source:MGI Symbol;Acc:MGI:96015]	2.2505374	
Zbp1	Z-DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1927449]	2.24392	
Cd40	CD40 antigen [Source:MGI Symbol;Acc:MGI:88336]	2.242193	
Tmem229b	transmembrane protein 229B [Source:MGI Symbol;Acc:MGI:2444389]	2.2420883	
I830077J02Rik	RIKEN cDNA I830077J02 gene [Source:MGI Symbol;Acc:MGI:3588284]	2.2367957	
Ass1	argininosuccinate synthetase 1 [Source:MGI Symbol;Acc:MGI:88090]	2.2351685	
Ncf4	neutrophil cytosolic factor 4 [Source:MGI Symbol;Acc:MGI:109186]	2.2292497	
Tgfbi	transforming growth factor, beta induced [Source:MGI Symbol;Acc:MGI:99959]	2.2281897	
Tifab	TRAF-interacting protein with forkhead-associated domain, family member B [Source:MGI Symbol;Acc:MGI:2385852]	2.2267838	
Bst2	bone marrow stromal cell antigen 2 [Source:MGI Symbol;Acc:MGI:1916800]	2.221596	
Parp9	poly (ADP-ribose) polymerase family, member 9 [Source:MGI Symbol;Acc:MGI:1933117]	2.2183063	
F9	coagulation factor IX [Source:MGI Symbol;Acc:MGI:88384]	2.2158768	
I730030J21Rik	RIKEN cDNA I730030J21 gene [Source:MGI Symbol;Acc:MGI:3588279]	2.2154136	
Chst1	carbohydrate sulfotransferase 1 [Source:MGI Symbol;Acc:MGI:1924219]	2.2147055	
Gm13012	predicted gene 13012 [Source:MGI Symbol;Acc:MGI:3652270]	2.207194	
Gpr65	G-protein coupled receptor 65 [Source:MGI Symbol;Acc:MGI:108031]	2.206463	
Ifi47	interferon gamma inducible protein 47 [Source:MGI Symbol;Acc:MGI:99448]	2.20646	
Ly6e	lymphocyte antigen 6 complex, locus E [Source:MGI Symbol;Acc:MGI:106651]	2.2032387	
Slc39a4	solute carrier family 39 (zinc transporter), member 4 [Source:MGI Symbol;Acc:MGI:1919277]	2.200621	
H2-T10	histocompatibility 2, T region locus 10 [Source:MGI Symbol;Acc:MGI:95942]	2.196104	
Lcp2	lymphocyte cytosolic protein 2 [Source:MGI Symbol;Acc:MGI:1321402]	2.1945279	
Gpr85	G protein-coupled receptor 85 [Source:MGI Symbol;Acc:MGI:1927851]	2.1942747	
Fgr	FGR proto-oncogene, Src family tyrosine kinase [Source:MGI Symbol;Acc:MGI:95527]	2.1928036	
Irf1	interferon regulatory factor 1 [Source:MGI Symbol;Acc:MGI:96590]	2.1873422	
Hcls1	hematopoietic cell specific Lyn substrate 1 [Source:MGI Symbol;Acc:MGI:104568]	2.1865637	
Mx1	MX dynamin-like GTPase 1 [Source:MGI Symbol;Acc:MGI:97243]	2.1780648	
Acvrl1	activin A receptor, type II-like 1 [Source:MGI Symbol;Acc:MGI:1338946]	2.1674464	
Cdkn2a	cyclin dependent kinase inhibitor 2A [Source:MGI Symbol;Acc:MGI:104738]	2.1655407	
Mag	myelin-associated glycoprotein [Source:MGI Symbol;Acc:MGI:96912]	2.1594226	
Gm19684	predicted gene, 19684 [Source:MGI Symbol;Acc:MGI:5011869]	2.1530745	
Sla	src-like adaptor [Source:MGI Symbol;Acc:MGI:104295]	2.1514125	
Arid5a	AT rich interactive domain 5A (MRF1-like) [Source:MGI Symbol;Acc:MGI:2443039]	2.1449616	
Nlrc5	NLR family, CARD domain containing 5 [Source:MGI Symbol;Acc:MGI:3612191]	2.1447504	
Mov10	Mov10 RISC complex RNA helicase [Source:MGI Symbol;Acc:MGI:97054]	2.142464	
Ptpn6	protein tyrosine phosphatase, non-receptor type 6 [Source:MGI Symbol;Acc:MGI:96055]	2.1374996	
Kcnk6	potassium inwardly-rectifying channel, subfamily K, member 6 [Source:MGI Symbol;Acc:MGI:1891291]	2.1355734	
Flt3l	FMS-like tyrosine kinase 3 ligand [Source:MGI Symbol;Acc:MGI:95560]	2.1332374	
Ciapin1	cytokine induced apoptosis inhibitor 1 [Source:MGI Symbol;Acc:MGI:1922083]	2.130617	
Ccl8	chemokine (C-C motif) ligand 8 [Source:MGI Symbol;Acc:MGI:101878]	2.1284482	
Myd88	myeloid differentiation primary response gene 88 [Source:MGI Symbol;Acc:MGI:108005]	2.123894	
Coro2a	coronin, actin binding protein 2A [Source:MGI Symbol;Acc:MGI:1345966]	2.123775	
Arhgap27os2	Rho GTPase activating protein 27, opposite strand 2 [Source:MGI Symbol;Acc:MGI:3650160]	2.1206603	
Gm13822	predicted gene 13822 [Source:MGI Symbol;Acc:MGI:3650351]	2.1127872	
Gsdmd	gasdermin D [Source:MGI Symbol;Acc:MGI:1916396]	2.1108625	
Lrrc25	leucine rich repeat containing 25 [Source:MGI Symbol;Acc:MGI:2445284]	2.108552	
Ncf1	neutrophil cytosolic factor 1 [Source:MGI Symbol;Acc:MGI:97283]	2.1046922	
Spint1	serine protease inhibitor, Kunitz type 1 [Source:MGI Symbol;Acc:MGI:1338033]	2.1045582	
Irgm1	immunity-related GTPase family M member 1 [Source:MGI Symbol;Acc:MGI:107567]	2.1035047	
Slamf7	SLAM family member 7 [Source:MGI Symbol;Acc:MGI:1922595]	2.0961049	
Gm15523	predicted gene 15523 [Source:MGI Symbol;Acc:MGI:3782970]	2.0930095	
Tmem63a	transmembrane protein 63a [Source:MGI Symbol;Acc:MGI:2384789]	2.0912814	
Olr1	oxidized low density lipoprotein (lectin-like) receptor 1 [Source:MGI Symbol;Acc:MGI:1261434]	2.0883996	
Mfsd7a	major facilitator superfamily domain containing 7A [Source:MGI Symbol;Acc:MGI:2442629]	2.085654	
Pmaip1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:MGI Symbol;Acc:MGI:1930146]	2.0849228	
Disc1	disrupted in schizophrenia 1 [Source:MGI Symbol;Acc:MGI:2447658]	2.0849063	
Ms4a4c	membrane-spanning 4-domains, subfamily A, member 4C [Source:MGI Symbol;Acc:MGI:1927656]	2.0847106	
Ifit1bl2	interferon induced protein with tetratricopeptide repeats 1B like 2 [Source:MGI Symbol;Acc:MGI:2148249]	2.0840626	
Marco	macrophage receptor with collagenous structure [Source:MGI Symbol;Acc:MGI:1309998]	2.077126	
Gm8369	predicted gene 8369 [Source:MGI Symbol;Acc:MGI:3645380]	2.0743515	
4930434J08Rik	RIKEN cDNA 4930434J08 gene [Source:MGI Symbol;Acc:MGI:1921229]	2.0728953	
Tapbp	TAP binding protein [Source:MGI Symbol;Acc:MGI:1201689]	2.0719292	
